id,name,role
Narrator,Narrator / Lawyer,"Elderly Wall Street lawyer who employs Bartleby, Turkey, Nippers, and Ginger Nut and narrates the crisis."
Bartleby,Bartleby,"Pallid scrivener hired by the narrator who gradually refuses work, refuses to leave, and dies in the Tombs."
Turkey,Turkey,"Older copyist employed by the narrator, productive in mornings and volatile after noon."
Nippers,Nippers,"Young copyist employed by the narrator, irritable in mornings and ambitious beyond copying."
Ginger Nut,Ginger Nut,"Twelve-year-old office boy, errand runner, cleaner, and student at law in the narrator’s office."
Ginger Nut's Father,Ginger Nut’s Father,Carman who sends Ginger Nut to the narrator’s office to rise beyond cart work.
John Jacob Astor,John Jacob Astor,Wealthy former client/employer whose good opinion confirms the narrator’s professional respectability.
Cleaning Woman,The Cleaning Woman,"Woman residing in the attic who sweeps, dusts, scrubs the office, and keeps one key."
Dun,Nippers’s Clients,"Ambiguous visitors whom Nippers calls clients, including at least one likely creditor."
Post Office Vendors,Custom House and Post Office Vendors,Nearby vendors from whom Ginger Nut buys apples and ginger cakes for the copyists.
Professional Friends,Professional Friends,The narrator’s legal acquaintances whose remarks about Bartleby pressure him to act.
Visiting Attorney,Visiting Attorney,Attorney who visits the office and attempts to get information from Bartleby.
Lawyer,Legal Gentleman,Lawyer present during a Reference who asks idle Bartleby to fetch papers.
Lawyers and Witnesses,Lawyers and Witnesses,Professional participants who crowd the office during a Reference and observe Bartleby’s refusal.
Lawyer Tenant,Mr. B / New Lawyer Tenant,Lawyer who takes the narrator’s old office and complains that Bartleby refuses to leave.
Landlord,Landlord of No. Wall Street,Landlord who pressures the narrator about Bartleby and has him removed to the Tombs.
Other Tenants,Other Tenants,Tenants in the Wall Street building disturbed by Bartleby’s presence in the entry and stairs.
Police Constables,Police / Constables,Authorities called by the landlord to remove Bartleby as a vagrant.
Tombs Officer,Tombs Officer,Official at the Halls of Justice who confirms Bartleby is confined and allows an interview.
Turnkeys,The Turnkeys,Prison keepers who confirm the grub-man’s role and later direct the narrator to Bartleby.
Grub Man,The Grub-Man,Prison food provider whom the narrator pays to give Bartleby better meals.
Monroe Edwards,Monroe Edwards,Former prisoner mentioned by the grub-man as someone who died of consumption at Sing-Sing.
Dead Letter Office,Dead Letter Office,Former workplace where rumor says Bartleby served as a subordinate clerk before removal.
The Administration,The Administration,Government administration whose change allegedly removed Bartleby from the Dead Letter Office.
